OTU	log_x	log_y	log_x/y	r
OTU 1	-2.554115554	-4.913866812	2.359751258	8.539074548
OTU 2	-0.689385944	-0.417615414	-0.27177053	0.412714674
OTU 3	-2.209250723	-4.913866812	2.704616089	12.70115513
OTU 4	-0.315772271	-4.913866812	4.598094541	112.3524239
OTU 5	-4.97899719	-2.864648789	-2.114348401	0.049472172
OTU 6	-2.299115248	-2.628309503	0.329194255	0.824389218
OTU 7	-3.149693418	-4.913866812	1.764173394	4.301519273
OTU 8	-1.839118104	-0.756561182	-1.082556922	0.162276905
OTU 9	-2.953691325	-4.913866812	1.960175487	5.390423902
OTU 10	-1.767876649	-1.984447886	0.216571237	0.724137093
OTU 11	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 13	-3.589831106	-3.436745557	-0.153085549	0.473142981
OTU 14	-3.086902588	-4.913866812	1.826964224	4.623994279
OTU 15	-1.675369214	-1.810747558	0.135378344	0.6595145
OTU 16	-3.711825462	-3.612836816	-0.098988646	0.503547974
OTU 17	-2.027902634	-1.114802093	-0.913100541	0.197235418
OTU 18	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 19	-3.441178095	-2.913866812	-0.527311283	0.307524368
OTU 20	-2.069441161	-1.603811074	-0.465630087	0.330156713
OTU 21	-2.391286225	-2.602112951	0.210826725	0.719363733
OTU 22	-2.053169616	-1.757014911	-0.296154705	0.401289525
OTU 23	-1.425235492	-4.913866812	3.48863132	31.32209741
OTU 24	-4.97899719	-2.780327904	-2.198669287	0.044895264
OTU 25	-2.147447338	-4.913866812	2.766419474	13.6378187
OTU 26	-2.677967195	-1.590821076	-1.087146118	0.161421774
OTU 27	-2.020433307	-2.685980107	0.6655468	1.214251297
OTU 28	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 29	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 30	-4.97899719	-3.482503048	-1.496494143	0.100759987
OTU 31	-2.65574509	-2.164130496	-0.491614594	0.320426096
OTU 32	-2.421489988	-1.958660274	-0.462829714	0.331222872
OTU 33	-2.640540697	-3.872474127	1.23193343	2.330783264
OTU 34	-3.35060826	-4.913866812	1.563258552	3.413221336
OTU 35	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 36	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 37	-1.940774552	-2.608515442	0.66774089	1.217322421
OTU 38	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 39	-2.866727422	-1.997412863	-0.869314559	0.207433023
OTU 40	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 41	-2.428768837	-2.083278143	-0.345490694	0.379131465
OTU 42	-2.522631157	-2.642025205	0.119394048	0.64748871
OTU 43	-2.766809586	-2.99478872	0.227979134	0.733710514
OTU 44	-2.586300237	-1.629210529	-0.957089708	0.187495273
OTU 45	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 46	-2.539664497	-2.868543833	0.328879337	0.82409038
OTU 47	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 48	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 49	-2.688962579	-1.60338592	-1.085576659	0.161713712
OTU 50	-4.001273585	-4.913866812	0.912593227	1.613733406
OTU 51	-3.366213334	-4.913866812	1.547653478	3.352446957
OTU 52	-1.653173771	-4.913866812	3.260693041	24.09249049
OTU 53	-2.414923211	-4.913866812	2.498943601	10.02321339
OTU 54	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 55	-3.35060826	-2.79992346	-0.550684801	0.299359314
OTU 56	-3.555751316	-4.913866812	1.358115495	2.695211951
OTU 57	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 58	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 59	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 60	-2.652661329	-4.913866812	2.261205482	7.623210589
OTU 61	-2.805810922	-2.512466271	-0.293344651	0.402589877
OTU 62	-2.644543439	-1.778734161	-0.865809279	0.208271832
OTU 63	-2.607929328	-2.098953631	-0.508975697	0.314085095
OTU 64	-4.376937199	-4.913866812	0.536929613	1.047128506
OTU 65	-2.596080055	-2.668354144	0.072274089	0.613298949
OTU 66	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 67	-2.423902742	-2.853168972	0.42926623	0.925056568
OTU 68	-2.64353929	-4.913866812	2.270327522	7.703692462
OTU 69	-2.603333576	-4.913866812	2.310533235	8.068667029
OTU 70	-3.467113829	-4.913866812	1.446752983	2.984775473
OTU 71	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 72	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 73	-2.856781312	-2.950078985	0.093297672	0.628324526
OTU 74	-2.71300082	-4.913866812	2.200865992	7.11161393
OTU 75	-3.35060826	-2.25776861	-1.09283965	0.160367128
OTU 76	-2.907115183	-2.395352872	-0.511762311	0.313079059
OTU 77	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 78	-3.106840918	-4.913866812	1.807025894	4.519060162
OTU 79	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 80	-2.800020243	-2.410076129	-0.389944114	0.360216099
OTU 81	-4.434929146	-4.913866812	0.478937666	0.979499027
OTU 82	-3.316239359	-2.317269716	-0.998969642	0.178669472
OTU 83	-2.788665492	-2.316171626	-0.472493866	0.327558024
OTU 84	-3.404965923	-4.913866812	1.508900889	3.206163167
OTU 85	-1.902538803	-4.913866812	3.011328009	18.08003141
OTU 86	-3.036989137	-3.482503048	0.44551391	0.942523378
OTU 87	-3.017576096	-3.334083215	0.316507119	0.812435207
OTU 88	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 89	-2.773522154	-2.338678967	-0.434843187	0.342068893
OTU 90	-2.839118104	-2.522931705	-0.316186399	0.392140751
OTU 91	-2.972531148	-1.892677513	-1.079853635	0.162782741
OTU 92	-2.732252481	-2.512466271	-0.21978621	0.438169427
OTU 93	-2.823661153	-3.498893464	0.675232311	1.227867011
OTU 94	-3.899815944	-3.03305322	-0.866762725	0.208043338
OTU 95	-3.280027186	-2.519415131	-0.760612055	0.235087289
OTU 96	-3.35060826	-3.197863468	-0.152744792	0.473328636
OTU 97	-2.748548269	-2.834685566	0.086137297	0.623166107
OTU 98	-2.840694492	-2.959624302	0.11892981	0.647142737
OTU 99	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 100	-4.97899719	-2.786762014	-2.192235177	0.045229063
OTU 101	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 102	-3.42269469	-1.775248378	-1.647446312	0.084686078
OTU 103	-3.467113829	-2.22544699	-1.241666839	0.135114437
OTU 104	-2.802905931	-2.397992968	-0.404912963	0.354061491
OTU 105	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 106	-2.875193469	-3.872474127	0.997280657	1.778998183
OTU 107	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 108	-2.765479433	-3.157991956	0.392512523	0.886730073
OTU 109	-3.137012386	-4.913866812	1.776854426	4.364780305
OTU 110	-3.246603431	-3.451468814	0.204865383	0.714443464
OTU 111	-3.012855458	-2.487355551	-0.525499907	0.308166356
OTU 112	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 113	-3.019955798	-2.171141681	-0.848814117	0.212387091
OTU 114	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 115	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 116	-4.97899719	-4.913866812	-0.065130378	0.523564253
