OTU	log_x	log_y	log_x/y	r
OTU 1	-3.714788818	-4.382381805	0.667592987	1.217115153
OTU 2	-0.910916251	-2.285471792	1.37455554	2.74671087
OTU 3	-3.696305412	-3.90526055	0.208955138	0.717815356
OTU 4	-0.36672958	-1.046723353	0.679993773	1.234616459
OTU 5	-1.485229389	-1.257388785	-0.227840604	0.434125078
OTU 6	-2.835967406	-1.935999993	-0.899967413	0.200240292
OTU 7	-4.298365404	-4.984441796	0.686076393	1.243292667
OTU 8	-2.368946478	-1.787713074	-0.581233404	0.289013729
OTU 9	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 10	-1.415082604	-2.520548807	1.105466204	2.014968577
OTU 11	-1.684523582	-1.986182458	0.301658876	0.798664929
OTU 13	-1.67736232	-0.772307483	-0.905054837	0.19907089
OTU 14	-5.076516654	-4.507320541	-0.569196112	0.293046892
OTU 15	-1.970325757	-2.805464849	0.835139092	1.476062415
OTU 16	-1.9733974	-0.809074965	-1.164322435	0.147697777
OTU 17	-2.264271957	-2.687776606	0.423504649	0.918940728
OTU 18	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 19	-3.36051331	-1.51007982	-1.85043349	0.067037596
OTU 20	-2.238928216	-2.437899133	0.198970917	0.709611483
OTU 21	-1.558793059	-2.877231827	1.318438767	2.574865568
OTU 22	-2.25829076	-2.577901616	0.319610855	0.815343482
OTU 23	-1.426889767	-3.17152844	1.744638672	4.205857094
OTU 24	-5.076516654	-0.917706001	-4.158810653	0.004700346
OTU 25	-2.357185367	-3.729169291	1.371983924	2.738590757
OTU 26	-2.709160733	-3.244079107	0.534918374	1.044706659
OTU 27	-2.238928216	-3.729169291	1.490241075	3.138020047
OTU 28	-5.076516654	-3.4046582	-1.671858454	0.082339068
OTU 29	-1.609797282	-3.285471792	1.67567451	3.884833685
OTU 30	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 31	-2.426209131	-3.192050107	0.765840976	1.362873867
OTU 32	-2.701768308	-3.493080102	0.791311794	1.403431025
OTU 33	-2.378416108	-3.753992875	1.375576766	2.749942159
OTU 34	-5.076516654	-1.193734509	-3.882782145	0.006458685
OTU 35	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 36	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 37	-2.371508695	-3.705688195	1.334179501	2.621953144
OTU 38	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 39	-2.918154162	-2.783044672	-0.13510949	0.483037036
OTU 40	-3.821244149	-3.151932883	-0.669311265	0.261143694
OTU 41	-2.469061631	-3.361192506	0.892130875	1.576161131
OTU 42	-2.356357351	-3.109380533	0.753023182	1.342909565
OTU 43	-2.321404388	-3.62271396	1.301309573	2.524584795
OTU 44	-3.496733057	-3.440373752	-0.056359305	0.528878026
OTU 45	-5.076516654	-2.227805688	-2.848710966	0.021241232
OTU 46	-2.212005573	-3.479291818	1.267286245	2.427606538
OTU 47	-5.076516654	-1.327099059	-3.749417595	0.007530544
OTU 48	-4.122274144	-2.397854491	-1.724419653	0.07750422
OTU 49	-2.986611542	-3.139343756	0.152732214	0.672823703
OTU 50	-2.804675047	-1.916998953	-0.887676094	0.203094017
OTU 51	-1.8637965	-3.268438453	1.404641953	2.843519118
OTU 52	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 53	-1.597085317	-3.753992875	2.156907558	6.760657814
OTU 54	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 55	-2.786482043	-1.950214535	-0.836267507	0.215477249
OTU 56	-3.207284934	-3.221013803	0.013728868	0.573323324
OTU 57	-5.076516654	-2.598835523	-2.477681131	0.032560766
OTU 58	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 59	-2.750180793	-2.531123456	-0.219057337	0.438537269
OTU 60	-2.357185367	-4.984441796	2.627256429	11.61885657
OTU 61	-2.654912727	-3.465927856	0.811015129	1.435630712
OTU 62	-2.946182885	-3.092347193	0.146164308	0.667755279
OTU 63	-2.656560905	-3.382381805	0.725820899	1.301504355
OTU 64	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 65	-2.894673066	-3.753992875	0.859319809	1.517731963
OTU 66	-3.147097728	-2.860590155	-0.286507573	0.405771359
OTU 67	-2.502485386	-3.62271396	1.120228574	2.049507269
OTU 68	-2.521422205	-4.984441796	2.463019591	9.617118589
OTU 69	-2.219184157	-4.984441796	2.765257639	13.61958879
OTU 70	-3.063679429	-3.303200559	0.23952113	0.743525283
OTU 71	-3.173426667	-4.507320541	1.333893875	2.621091085
OTU 72	-3.900425395	-1.533423344	-2.367002051	0.036985726
OTU 73	-2.623198314	-3.440373752	0.817175438	1.445848853
OTU 74	-4.122274144	-1.632645489	-2.489628655	0.032115956
OTU 75	-2.962573302	-2.887531783	-0.075041518	0.517624015
OTU 76	-3.02343821	-3.321683964	0.298245754	0.795532731
OTU 77	-2.395275417	-2.791317198	0.396041781	0.890340372
OTU 78	-3.797763053	-2.43177358	-1.365989473	0.117095563
OTU 79	-2.503645052	-2.606043895	0.102398843	0.634942793
OTU 80	-2.73212438	-3.109380533	0.377256153	0.871291049
OTU 81	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 82	-3.678576645	-2.912559789	-0.766016856	0.233628999
OTU 83	-3.004634647	-3.507320541	0.502685895	1.006649132
OTU 84	-3.132033982	-3.705688195	0.573654213	1.092351181
OTU 85	-2.821244149	-3.808350537	0.987106388	1.758281352
OTU 86	-2.580972316	-3.604230554	1.023258238	1.833007724
OTU 87	-3.015818814	-3.729169291	0.713350477	1.28295202
OTU 88	-4.173426667	-3.870498444	-0.302928223	0.398172319
OTU 89	-3.250441851	-2.672687935	-0.577753916	0.290173814
OTU 90	-2.838470551	-3.382381805	0.543911254	1.055579149
OTU 91	-3.051210789	-3.465927856	0.414717068	0.909690606
OTU 92	-3.035123969	-4.081351809	1.04622784	1.882127742
OTU 93	-3.076516654	-4.984441796	1.907925142	5.07572106
OTU 94	-5.076516654	-2.317923816	-2.758592838	0.023563443
OTU 95	-2.990156823	-3.522043798	0.531886975	1.04106696
OTU 96	-2.525066656	-3.870498444	1.345431788	2.656140659
OTU 97	-2.936637568	-3.586501787	0.64986422	1.192524433
OTU 98	-3.085290578	-3.428139295	0.342848717	0.837451249
OTU 99	-2.769020616	-1.792990782	-0.976029834	0.183451074
OTU 100	-5.076516654	-3.260165927	-1.816350727	0.069720391
OTU 101	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 102	-5.076516654	-3.244079107	-1.832437547	0.068441009
OTU 103	-3.059483315	-3.303200559	0.243717244	0.74712591
OTU 104	-2.900425395	-4.139343756	1.238918361	2.349602289
OTU 105	-3.900425395	-4.984441796	1.084016401	1.965818313
OTU 106	-2.701768308	-4.984441796	2.282673488	7.813973249
OTU 107	-1.92087702	-2.857336998	0.936459978	1.658689765
OTU 108	-4.035123969	-4.683411801	0.648287832	1.190362103
OTU 109	-2.848629949	-4.984441796	2.135811847	6.598437378
OTU 110	-2.802358805	-3.62271396	0.820355155	1.451151495
OTU 111	-2.797763053	-3.662222501	0.864459448	1.526739354
OTU 112	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 113	-3.678576645	-3.569468448	-0.109108197	0.497715399
OTU 114	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 115	-5.076516654	-2.168864048	-2.907652606	0.01984764
OTU 116	-2.470135289	-3.393377189	0.9232419	1.633639125
OTU 117	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 118	-3.775486658	-3.1271093	-0.648377359	0.267513989
OTU 119	-3.027298631	-3.586501787	0.559203156	1.074327652
OTU 120	-3.31308866	-3.780321814	0.467233153	0.966388498
OTU 121	-4.035123969	-4.139343756	0.104219787	0.636275308
OTU 122	-5.076516654	-4.139343756	-0.937172898	0.191844224
OTU 123	-2.430112928	-2.939118817	0.50900589	1.014000387
OTU 124	-3.846067733	-3.465927856	-0.380139876	0.364305089
OTU 125	-3.64515289	-2.764333708	-0.880819182	0.204703649
OTU 126	-3.474456663	-3.371657939	-0.102798723	0.501343992
OTU 127	-3.27033668	-3.553078032	0.282741352	0.781458379
OTU 128	-5.076516654	-4.984441796	-0.092074858	0.507572106
OTU 129	-2.60230039	-2.766957852	0.164657462	0.682124906
OTU 130	-5.076516654	-4.984441796	-0.092074858	0.507572106
