OTU	log_x	log_y	log_x/y	r
OTU 1	-4.521293161	-4.382381805	-0.138911356	0.480927374
OTU 2	-1.307699518	-2.285471792	0.977772273	1.739487502
OTU 3	-3.91923317	-3.90526055	-0.01397262	0.555327098
OTU 4	-0.653674172	-1.046723353	0.39304918	0.887278108
OTU 5	-0.718324072	-1.257388785	0.539064713	1.049705644
OTU 6	-0.908282381	-1.935999993	1.027717612	1.842442665
OTU 7	-4.667421197	-4.984441796	0.317020599	0.812915633
OTU 8	-2.346029919	-1.787713074	-0.558316845	0.296740452
OTU 9	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 10	-1.446372285	-2.520548807	1.074176522	1.943674052
OTU 11	-1.417147611	-1.986182458	0.569034847	1.086557214
OTU 13	-2.032541056	-0.772307483	-1.260233573	0.132256915
OTU 14	-5.065361206	-4.507320541	-0.558040664	0.29683482
OTU 15	-2.036586679	-2.805464849	0.76887817	1.367647767
OTU 16	-2.101809472	-0.809074965	-1.292734507	0.127399558
OTU 17	-2.301933212	-2.687776606	0.385843394	0.879947725
OTU 18	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 19	-1.860563167	-1.51007982	-0.350483347	0.376958467
OTU 20	-2.382314167	-2.437899133	0.055584965	0.601627471
OTU 21	-1.974574278	-2.877231827	0.902657549	1.595379291
OTU 22	-2.368131863	-2.577901616	0.209769753	0.718488882
OTU 23	-2.061685303	-3.17152844	1.109843137	2.025147892
OTU 24	-3.8100887	-0.917706001	-2.8923827	0.020199649
OTU 25	-2.406872824	-3.729169291	1.322296467	2.586326855
OTU 26	-2.834912284	-3.244079107	0.409166823	0.903896255
OTU 27	-2.46876411	-3.729169291	1.260405181	2.408450731
OTU 28	-4.521293161	-3.4046582	-1.116634962	0.156033444
OTU 29	-2.073028646	-3.285471792	1.212443145	2.279065194
OTU 30	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 31	-2.717056342	-3.192050107	0.474993764	0.975061611
OTU 32	-2.686963305	-3.493080102	0.806116798	1.427557384
OTU 33	-2.409742622	-3.753992875	1.344250253	2.652529987
OTU 34	-2.603712637	-1.193734509	-1.409978129	0.111313057
OTU 35	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 36	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 37	-2.717056342	-3.705688195	0.988631853	1.761372057
OTU 38	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 39	-2.850517357	-2.783044672	-0.067472686	0.522154269
OTU 40	-1.708379805	-3.151932883	1.443553079	2.973799714
OTU 41	-2.603712637	-3.361192506	0.757479868	1.349817673
OTU 42	-2.432903913	-3.109380533	0.676476619	1.229627269
OTU 43	-2.572600817	-3.62271396	1.050113144	1.890565584
OTU 44	-3.211055164	-3.440373752	0.229318588	0.734842845
OTU 45	-2.093621615	-2.227805688	0.134184073	0.65860832
OTU 46	-2.462216833	-3.479291818	1.017074985	1.820005366
OTU 47	-2.913072861	-1.327099059	-1.585973802	0.090896733
OTU 48	-3.272969516	-2.397854491	-0.875115025	0.206052394
OTU 49	-3.138504497	-3.139343756	0.00083926	0.564878188
OTU 50	-1.815185257	-1.916998953	0.101813696	0.634515191
OTU 51	-2.23125855	-3.268438453	1.037179903	1.862623712
OTU 52	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 53	-2.738002271	-3.753992875	1.015990604	1.817734616
OTU 54	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 55	-2.390041222	-1.950214535	-0.439826687	0.340111904
OTU 56	-1.809004319	-3.221013803	1.412009483	2.867740949
OTU 57	-2.265331846	-2.598835523	0.333503676	0.82848951
OTU 58	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 59	-1.976870735	-2.531123456	0.554252721	1.068222045
OTU 60	-2.645405457	-4.984441796	2.339036339	8.337835941
OTU 61	-2.784327838	-3.465927856	0.681600018	1.236901696
OTU 62	-3.167734114	-3.092347193	-0.075386921	0.517418218
OTU 63	-2.868080647	-3.382381805	0.514301157	1.020201023
OTU 64	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 65	-2.949750694	-3.753992875	0.804242181	1.424479706
OTU 66	-2.692449203	-2.860590155	0.168140953	0.684866073
OTU 67	-3.025947086	-3.62271396	0.596766874	1.121808207
OTU 68	-2.306071173	-4.984441796	2.678370624	12.32311461
OTU 69	-2.040670343	-4.984441796	2.943771453	16.7271096
OTU 70	-2.077694941	-3.303200559	1.225505618	2.313598452
OTU 71	-4.13594228	-4.507320541	0.371378262	0.865414777
OTU 72	-2.730907454	-1.533423344	-1.19748411	0.142165141
OTU 73	-2.762165148	-3.440373752	0.678208604	1.232081617
OTU 74	-3.393263348	-1.632645489	-1.760617858	0.074340632
OTU 75	-2.93987994	-2.887531783	-0.052348157	0.531326036
OTU 76	-3.010365344	-3.321683964	0.31131862	0.807596608
OTU 77	-1.993479198	-2.791317198	0.797838	1.414015518
OTU 78	-3.393263348	-2.43177358	-0.961489768	0.186547869
OTU 79	-2.004097263	-2.606043895	0.601946632	1.128518004
OTU 80	-2.893634752	-3.109380533	0.215745781	0.723449243
OTU 81	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 82	-3.553477845	-2.912559789	-0.640918056	0.269821249
OTU 83	-3.167734114	-3.507320541	0.339586427	0.834311807
OTU 84	-2.989814244	-3.705688195	0.715873951	1.286684744
OTU 85	-2.973694248	-3.808350537	0.834656289	1.475242178
OTU 86	-2.742109105	-3.604230554	0.862121449	1.522635323
OTU 87	-2.875029507	-3.729169291	0.854139784	1.508707564
OTU 88	-5.065361206	-3.870498444	-1.194862762	0.142594835
OTU 89	-3.509058705	-2.672687935	-0.83637077	0.215451633
OTU 90	-2.892174937	-3.382381805	0.490206868	0.992289989
OTU 91	-3.412148692	-3.465927856	0.053779165	0.600377984
OTU 92	-3.313312758	-4.081351809	0.768039051	1.366327161
OTU 93	-3.540316398	-4.984441796	1.444125398	2.975759816
OTU 94	-5.065361206	-2.317923816	-2.74743739	0.023868025
OTU 95	-3.125841953	-3.522043798	0.396201845	0.890504459
OTU 96	-2.596275906	-3.870498444	1.274222537	2.447070292
OTU 97	-3.027934708	-3.586501787	0.55856708	1.073541199
OTU 98	-2.954771495	-3.428139295	0.4733678	0.973238041
OTU 99	-3.252447849	-1.792990782	-1.459457067	0.105149362
OTU 100	-2.8100887	-3.260165927	0.450077226	0.947488154
OTU 101	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 102	-4.324998516	-3.244079107	-1.080919409	0.162583127
OTU 103	-3.485577609	-3.303200559	-0.18237705	0.45745318
OTU 104	-2.980784928	-4.139343756	1.158558829	2.14197595
OTU 105	-2.349775654	-4.984441796	2.634666143	11.71839808
OTU 106	-3.004663365	-4.984441796	1.979778431	5.513462073
OTU 107	-5.065361206	-2.857336998	-2.208024208	0.044414326
OTU 108	-3.743141911	-4.683411801	0.94026989	1.665981294
OTU 109	-2.956458078	-4.984441796	2.027983718	5.82810054
OTU 110	-2.914604766	-3.62271396	0.708109194	1.275233677
OTU 111	-3.027934708	-3.662222501	0.634287794	1.171329478
OTU 112	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 113	-3.713178687	-3.569468448	-0.143710239	0.478277617
OTU 114	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 115	-2.722938525	-2.168864048	-0.554074477	0.298193339
OTU 116	-3.658821025	-3.393377189	-0.265443836	0.415731812
OTU 117	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 118	-2.862600518	-3.1271093	0.264508782	0.765225734
OTU 119	-2.396044325	-3.586501787	1.190457463	2.222101575
OTU 120	-3.094549595	-3.780321814	0.685772219	1.242857351
OTU 121	-4.190299942	-4.139343756	-0.050956186	0.532178203
OTU 122	-5.065361206	-4.139343756	-0.926017449	0.194324004
OTU 123	-2.716083678	-2.939118817	0.223035139	0.729546109
OTU 124	-2.490751264	-3.465927856	0.975176592	1.734296997
OTU 125	-2.392340298	-2.764333708	0.37199341	0.866027895
OTU 126	-3.889269946	-3.371657939	-0.517612007	0.310977646
OTU 127	-3.515132852	-3.553078032	0.03794518	0.589532519
OTU 128	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 129	-3.332967446	-2.766957852	-0.566009594	0.294123943
OTU 130	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 131	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 132	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 133	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 134	-3.650387858	-4.984441796	1.334053939	2.621574145
OTU 135	-3.509058705	-1.971183131	-1.537875574	0.096072123
OTU 136	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 137	-2.886384258	-3.312343938	0.42595968	0.921541751
OTU 138	-2.275076042	-3.244079107	0.969003065	1.722014121
OTU 139	-2.723926681	-1.955870543	-0.768056137	0.233081126
OTU 140	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 141	-4.366391201	-4.984441796	0.618050595	1.149636314
OTU 142	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 143	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 144	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 145	-3.515132852	-3.440373752	-0.074759101	0.517792345
OTU 146	-3.861241223	-3.753992875	-0.107248348	0.498782264
OTU 147	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 148	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 149	-3.357791029	-1.938727737	-1.419063292	0.110154826
OTU 150	-3.370756007	-3.312343938	-0.058412068	0.527629588
OTU 151	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 152	-2.310248939	-3.192050107	0.881801168	1.55752763
OTU 153	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 154	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 155	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 156	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 157	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 158	-3.384119968	-4.984441796	1.600321828	3.562017838
OTU 159	-3.935027437	-2.788542144	-1.146485293	0.150762222
OTU 160	-2.840051924	-4.984441796	2.144389872	6.663925177
OTU 161	-2.752549379	-3.642019115	0.889469736	1.571339558
OTU 162	-3.096878257	-3.662222501	0.565344244	1.081950266
OTU 163	-3.935027437	-3.780321814	-0.154705624	0.472261306
OTU 164	-3.658821025	-4.984441796	1.325620771	2.596244332
OTU 165	-3.503068341	-2.577901616	-0.925166725	0.194514425
OTU 166	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 167	-3.775326594	-3.553078032	-0.222248562	0.436929024
OTU 168	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 169	-3.002779221	-4.984441796	1.981662575	5.525434861
OTU 170	-3.417001195	-3.1271093	-0.289891895	0.40419341
OTU 171	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 172	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 173	-5.065361206	-3.729169291	-1.336191914	0.121182308
OTU 174	-4.190299942	-3.479291818	-0.711008124	0.248903563
OTU 175	-3.875029507	-3.049943345	-0.825086162	0.218269018
OTU 176	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 177	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 178	-3.463301214	-3.086814705	-0.376486509	0.365840617
OTU 179	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 180	-3.567050652	-3.729169291	0.162118639	0.680134015
OTU 181	-5.065361206	-4.984441796	-0.080919409	0.514132989
OTU 182	-3.685149964	-2.654028023	-1.031121941	0.172176631
OTU 183	-3.050420856	-2.721990706	-0.328430149	0.386651858
