OTU	log_x	log_y	log_x/y	r
OTU 1	-3.208247566	-5.188605102	1.980357536	5.517139234
OTU 2	-0.99748744	-1.86145059	0.86396315	1.525867247
OTU 3	-0.507041158	-5.188605102	4.681563944	123.6850327
OTU 4	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 5	-3.46150478	-1.951312765	-1.510192015	0.09918344
OTU 6	-3.695587986	-2.476797873	-1.218790112	0.138720332
OTU 7	-0.844810511	-5.188605102	4.343794592	83.83637117
OTU 8	-1.528270651	-1.457580722	-0.070689929	0.520223794
OTU 9	-1.490112949	-5.188605102	3.698492153	39.88239703
OTU 10	-1.762896838	-1.809843927	0.046947089	0.595674104
OTU 11	-4.841716021	-1.943833341	-2.897882681	0.020072147
OTU 13	-2.367499757	-2.785484581	0.417984824	0.913119438
OTU 14	-1.476415273	-5.188605102	3.71218983	40.51632916
OTU 15	-1.760728974	-1.897680543	0.136951568	0.660710122
OTU 16	-2.547249795	-3.410453852	0.863204057	1.524534316
OTU 17	-1.979584642	-2.074327806	0.094743164	0.629371044
OTU 18	-4.841716021	-0.850706776	-3.991009245	0.005702044
OTU 19	-4.841716021	-1.360912813	-3.480803208	0.010259674
OTU 20	-1.9337675	-1.726207104	-0.207560395	0.444380485
OTU 21	-3.208247566	-3.489635098	0.281387532	0.780241313
OTU 22	-2.042375472	-1.895021589	-0.147353883	0.476275492
OTU 23	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 24	-3.727772669	-2.174925405	-1.552847264	0.094430338
OTU 25	-1.918990563	-3.064753461	1.145762898	2.110651958
OTU 26	-1.987409979	-2.700054386	0.712644406	1.281909538
OTU 27	-2.37633317	-3.012513843	0.636180673	1.17388489
OTU 28	-4.841716021	-1.201564815	-3.640151206	0.008540033
OTU 29	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 30	-4.841716021	-1.213679116	-3.628036905	0.008659977
OTU 31	-1.804289523	-2.658405404	0.854115881	1.508666046
OTU 32	-2.302639922	-3.349756011	1.047116089	1.884053454
OTU 33	-2.112551232	-3.224817275	1.112266043	2.030804876
OTU 34	-2.624232077	-3.159221324	0.534989247	1.044791906
OTU 35	-4.841716021	-1.28671107	-3.555004951	0.009419605
OTU 36	-4.841716021	-1.288729906	-3.552986115	0.009441524
OTU 37	-2.714611223	-3.657126185	0.942514962	1.670292985
OTU 38	-4.841716021	-1.316973798	-3.524742224	0.00975358
OTU 39	-1.927902169	-1.918392247	-0.009509922	0.558187639
OTU 40	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 41	-2.527848801	-3.003913671	0.47606487	0.976264756
OTU 42	-2.110127256	-2.815693099	0.705565843	1.271505074
OTU 43	-2.315376744	-3.545152426	1.229775682	2.325000319
OTU 44	-2.452549937	-2.230041219	-0.222508718	0.436798177
OTU 45	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 46	-2.366044833	-2.638376749	0.272331916	0.772149037
OTU 47	-3.727772669	-3.197379026	-0.530393643	0.306434991
OTU 48	-4.841716021	-1.528879007	-3.312837014	0.01244849
OTU 49	-2.591296019	-2.608821506	0.017525487	0.575834816
OTU 50	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 51	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 52	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 53	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 54	-4.841716021	-1.525469787	-3.316246234	0.012399725
OTU 55	-4.841716021	-2.263293011	-2.578423011	0.028995037
OTU 56	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 57	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 58	-4.841716021	-1.566805878	-3.274910143	0.013004094
OTU 59	-4.841716021	-3.151178604	-1.690537417	0.080587274
OTU 60	-2.211288146	-5.188605102	2.977316956	17.38575895
OTU 61	-2.643058934	-2.415550409	-0.227508526	0.434291084
OTU 62	-2.61899955	-2.819389245	0.200389695	0.710771529
OTU 63	-2.495363047	-2.881109064	0.385746017	0.879849081
OTU 64	-2.674398687	-5.188605102	2.514206416	10.2008975
OTU 65	-2.517433566	-3.071333806	0.553900241	1.06778864
OTU 66	-1.947954259	-5.188605102	3.240650843	23.54293467
OTU 67	-3.443776013	-5.188605102	1.74482909	4.206779227
OTU 68	-2.300136777	-5.188605102	2.888468325	15.69528978
OTU 69	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 70	-2.833115849	-5.188605102	2.355489253	8.497277516
OTU 71	-1.617960568	-5.188605102	3.570644535	34.42369168
OTU 72	-2.828878797	-3.498409022	0.669530226	1.219832749
OTU 73	-2.410352257	-2.694450508	0.284098251	0.782680117
OTU 74	-2.491468003	-5.188605102	2.697137099	12.59226126
OTU 75	-2.629528417	-2.453805273	-0.175723144	0.460970999
OTU 76	-2.196293752	-2.390645458	0.194351706	0.705847741
OTU 77	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 78	-4.841716021	-3.909851501	-0.93186452	0.193020269
OTU 79	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 80	-2.603669918	-3.188605102	0.584935184	1.106630837
OTU 81	-3.035536047	-5.188605102	2.153069055	6.730846764
OTU 82	-2.207238751	-2.209512201	0.00227345	0.565811671
OTU 83	-2.984383525	-3.139387079	0.155003555	0.674585424
OTU 84	-2.081293538	-4.285515115	2.204221577	7.139141084
OTU 85	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 86	-2.435175841	-3.984485119	1.549309279	3.358843858
OTU 87	-2.296408905	-3.403275267	1.106866362	2.01821931
OTU 88	-4.841716021	-1.862474145	-2.979241876	0.018277392
OTU 89	-3.078288028	-2.823117117	-0.25517091	0.420677923
OTU 90	-2.689427677	-2.68210007	-0.007327607	0.559591839
OTU 91	-3.035536047	-3.313543839	0.278007791	0.777211238
OTU 92	-3.151519941	-3.084801381	-0.06671856	0.52260781
OTU 93	-3.218466731	-5.188605102	1.970138371	5.452609069
OTU 94	-3.695587986	-1.86617905	-1.829408936	0.068680067
OTU 95	-2.22471568	-3.139387079	0.914671399	1.617599022
OTU 96	-2.476228036	-2.787204561	0.310976525	0.807278597
OTU 97	-2.545050831	-2.663560295	0.118509464	0.646829633
OTU 98	-2.632201007	-2.746125333	0.113924326	0.643424123
OTU 99	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 100	-4.841716021	-2.039694109	-2.802021912	0.02241425
OTU 101	-4.841716021	-1.79837674	-3.043339282	0.016977179
OTU 102	-3.350354327	-2.470103413	-0.880250914	0.204837619
OTU 103	-2.777258032	-3.337346753	0.560088721	1.075423535
OTU 104	-3.297647977	-3.575821245	0.278173269	0.777359321
OTU 105	-4.841716021	-3.958156181	-0.88355984	0.204058766
OTU 106	-3.078288028	-5.188605102	2.110317074	6.40757522
OTU 107	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 108	-4.841716021	-5.188605102	0.346889081	0.841355845
OTU 109	-2.255128717	-5.188605102	2.933476386	16.53001961
OTU 110	-2.741345476	-3.644537058	0.903191582	1.596360477
OTU 111	-3.002866931	-3.362530299	0.359663369	0.853821055
