OTU	log_x	log_y	log_x/y	r
OTU 1	-0.144880453	-4.913866812	4.768986359	136.7818128
OTU 2	-0.942540069	-0.417615414	-0.524924655	0.308370517
OTU 3	-2.116940807	-4.913866812	2.796926005	14.12531621
OTU 4	-4.175366831	-4.913866812	0.738499981	1.320642187
OTU 5	-3.679360232	-2.864648789	-0.814711443	0.220891729
OTU 6	-2.104959509	-2.628309503	0.523349994	1.030884887
OTU 7	-2.77511674	-4.913866812	2.138750072	6.620796082
OTU 8	-1.666612728	-0.756561182	-0.910051547	0.197928987
OTU 9	-2.958761137	-4.913866812	1.955105675	5.359052523
OTU 10	-2.548000974	-1.984447886	-0.563553088	0.294956949
OTU 11	-3.214737523	-4.913866812	1.699129289	3.991166268
OTU 13	-3.103484824	-3.436745557	0.333260733	0.828257816
OTU 14	-3.025122229	-4.913866812	1.888744583	4.964865266
OTU 15	-2.051950791	-1.810747558	-0.241203233	0.42749748
OTU 16	-3.50636005	-3.612836816	0.106476766	0.637930783
OTU 17	-2.267239403	-1.114802093	-1.152437311	0.149732653
OTU 18	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 19	-2.827711623	-2.913866812	0.086155189	0.623178943
OTU 20	-2.1952119	-1.603811074	-0.591400826	0.285650352
OTU 21	-2.481054185	-2.602112951	0.121058766	0.648730862
OTU 22	-2.448911311	-1.757014911	-0.6918964	0.254440931
OTU 23	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 24	-4.874336835	-2.780327904	-2.094008932	0.050644316
OTU 25	-2.831630096	-4.913866812	2.082236716	6.203739223
OTU 26	-2.438704786	-1.590821076	-0.84788371	0.212614716
OTU 27	-2.265098259	-2.685980107	0.420881848	0.91617007
OTU 28	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 29	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 30	-4.874336835	-3.482503048	-1.391833788	0.113662782
OTU 31	-2.495333646	-2.164130496	-0.33120315	0.385419427
OTU 32	-2.483990602	-1.958660274	-0.525330328	0.308226526
OTU 33	-3.330268791	-3.872474127	0.542205336	1.053508014
OTU 34	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 35	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 36	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 37	-2.202855435	-2.608515442	0.405660007	0.900254248
OTU 38	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 39	-2.982242233	-1.997412863	-0.984829369	0.181601943
OTU 40	-4.874336835	-4.913866812	0.039529976	0.590609141
OTU 41	-2.864319715	-2.083278143	-0.781041571	0.229622473
OTU 42	-2.844953058	-2.642025205	-0.202927852	0.44675688
