OTU	log_x	log_y	log_x/y	r
OTU 1	-0.221853312	-4.382381805	4.160528493	67.88900169
OTU 2	-1.568831785	-2.285471792	0.716640007	1.287820041
OTU 3	-3.699842288	-3.90526055	0.205418262	0.71489837
OTU 4	-3.516197891	-1.046723353	-2.469474539	0.032869864
OTU 5	-1.631656426	-1.257388785	-0.374267642	0.366776376
OTU 6	-2.636173208	-1.935999993	-0.700173216	0.252027869
OTU 7	-3.580655881	-4.984441796	1.403785916	2.84071807
OTU 8	-1.810393142	-1.787713074	-0.022680069	0.549787855
OTU 9	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 10	-2.049688199	-2.520548807	0.470860608	0.970432829
OTU 11	-1.747891576	-1.986182458	0.238290882	0.742472918
OTU 13	-1.651645895	-0.772307483	-0.879338412	0.205052926
OTU 14	-4.978595889	-4.507320541	-0.471275348	0.328017868
OTU 15	-1.899052882	-2.805464849	0.906411967	1.602290138
OTU 16	-1.746362368	-0.809074965	-0.937287403	0.191818935
OTU 17	-2.462722045	-2.687776606	0.22505456	0.731244237
OTU 18	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 19	-4.978595889	-1.51007982	-3.468516069	0.01040584
OTU 20	-2.104694291	-2.437899133	0.333204841	0.828204521
OTU 21	-1.674320839	-2.877231827	1.202910988	2.254190784
OTU 22	-2.367935726	-2.577901616	0.20996589	0.718651143
OTU 23	-4.978595889	-3.17152844	-1.80706745	0.070469542
OTU 24	-4.978595889	-0.917706001	-4.060889888	0.005261266
OTU 25	-2.560294598	-3.729169291	1.168874693	2.16756696
OTU 26	-2.706754283	-3.244079107	0.537324824	1.047605061
OTU 27	-2.545626598	-3.729169291	1.183542693	2.204481824
OTU 28	-4.978595889	-3.4046582	-1.57393769	0.092165064
OTU 29	-1.923217558	-3.285471792	1.362254234	2.708085008
OTU 30	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 31	-2.101224543	-3.192050107	1.090825563	1.98128959
OTU 32	-2.371140866	-3.493080102	1.121939236	2.053547695
OTU 33	-3.103534626	-3.753992875	0.650458249	1.193340281
OTU 34	-2.365812032	-1.193734509	-1.172077524	0.146384945
OTU 35	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 36	-3.978595889	-4.984441796	1.005845907	1.796627858
OTU 37	-2.666842028	-3.705688195	1.038846167	1.86620032
OTU 38	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 39	-2.793904458	-2.783044672	-0.010859787	0.55732084
OTU 40	-4.978595889	-3.151932883	-1.826663006	0.068897533
OTU 41	-2.603847543	-3.361192506	0.757344963	1.349608041
OTU 42	-2.387531282	-3.109380533	0.721849251	1.295566773
