1414_scaffold28,31302,f31Z31302_1_19352_21610_+_gene_type=bacteria	ea646263bb4533196c80343b5041fa12	752	Pfam	PF10431	C-terminal, D2-small domain, of ClpB protein	656	735	2.0E-21	T	28-03-2024	IPR019489	Clp ATPase, C-terminal
1414_scaffold28,31302,f31Z31302_1_19352_21610_+_gene_type=bacteria	ea646263bb4533196c80343b5041fa12	752	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	214	345	1.6E-8	T	28-03-2024	IPR003959	ATPase, AAA-type, core
1414_scaffold28,31302,f31Z31302_1_19352_21610_+_gene_type=bacteria	ea646263bb4533196c80343b5041fa12	752	Pfam	PF07724	AAA domain (Cdc48 subfamily)	489	649	3.2E-56	T	28-03-2024	IPR003959	ATPase, AAA-type, core
1414_scaffold28,31302,f31Z31302_1_19352_21610_+_gene_type=bacteria	ea646263bb4533196c80343b5041fa12	752	Pfam	PF17871	AAA lid domain	353	455	1.3E-26	T	28-03-2024	IPR041546	ClpA/ClpB, AAA lid domain
1414_scaffold28,31302,f31Z31302_1_19352_21610_+_gene_type=bacteria	ea646263bb4533196c80343b5041fa12	752	Pfam	PF02861	Clp amino terminal domain, pathogenicity island component	15	62	1.6E-10	T	28-03-2024	IPR004176	Clp, repeat (R) domain
220_scaffold10,60314,f17Z60314_1_15702_16577_-_gene_type=bacteria	34915ace6290258fbd5ff8a821fee396	291	Pfam	PF20434	BD-FAE	61	167	5.1E-13	T	28-03-2024	-	-
917_scaffold42,14509,f45Z14509_1_2774_3097_-_gene_type=bacteria	83b16fa9bac9f9b165c25fe51dd5e6ac	107	Pfam	PF07733	Bacterial DNA polymerase III alpha NTPase domain	1	106	3.5E-17	T	28-03-2024	IPR011708	Bacterial DNA polymerase III, alpha subunit, NTPase domain
612_scaffold3,91002,f3Z91002_1_35620_36582_-_gene_type=bacteria	af14d3a7cb6611101aeb1744cbdde4e1	320	Pfam	PF01343	Peptidase family S49	134	274	5.4E-29	T	28-03-2024	IPR002142	Peptidase S49
2035_scaffold15,54646,f9Z54646_1_37966_38565_-_gene_type=bacteria	650cdb3083291fb7bad7a764f0ae8eb0	199	Pfam	PF07499	RuvA, C-terminal domain	152	195	4.7E-9	T	28-03-2024	IPR011114	Holliday junction DNA helicase RuvA, C-terminal
2035_scaffold15,54646,f9Z54646_1_37966_38565_-_gene_type=bacteria	650cdb3083291fb7bad7a764f0ae8eb0	199	Pfam	PF01330	RuvA N terminal domain	1	61	1.9E-17	T	28-03-2024	IPR013849	DNA helicase, Holliday junction RuvA type, domain I, bacterial
2035_scaffold15,54646,f9Z54646_1_37966_38565_-_gene_type=bacteria	650cdb3083291fb7bad7a764f0ae8eb0	199	Pfam	PF14520	Helix-hairpin-helix domain	72	130	6.8E-12	T	28-03-2024	-	-
2066_scaffold13,55316,f20Z55316_1_9487_9807_-_gene_type=bacteria	d6cd7c7b188f7dd8923bd8aa3fdbe5c1	106	Pfam	PF13240	zinc-ribbon domain	5	27	0.0056	T	28-03-2024	IPR026870	Zinc-ribbon domain
62_scaffold7,63419,f4Z63419_1_61852_63156_+_gene_type=bacteria	29416f7894623a238c060893889cbf5e	434	Pfam	PF00202	Aminotransferase class-III	41	430	2.4E-62	T	28-03-2024	IPR005814	Aminotransferase class-III
554_scaffold55,8826,f344Z8826_1_4175_4555_-_gene_type=bacteria	8fb0a5bd0b0760afb0b0d943958aea32	126	Pfam	PF08915	Archaea-specific editing domain of threonyl-tRNA synthetase	1	124	1.9E-25	T	28-03-2024	IPR015011	Threonyl-tRNA synthetase, editing domain, archaea
1483_scaffold73,4001,f264Z4001_1_3001_3495_-_gene_type=bacteria	ac5a5c27cb62812ef03541159a12c3c1	164	Pfam	PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	11	153	3.2E-33	T	28-03-2024	IPR002178	PTS EIIA type-2 domain
1755_scaffold18,50773,f14Z50773_1_4788_5486_+_gene_type=bacteria	e8c3aac2242553f2316c7bc1374aa02b	232	Pfam	PF00117	Glutamine amidotransferase class-I	129	183	0.064	T	28-03-2024	IPR017926	Glutamine amidotransferase
1931_scaffold19,50112,f24Z50112_1_29685_31283_+_gene_type=bacteria	d72907977a8c4c7f78f4befe59bc6373	532	Pfam	PF05199	GMC oxidoreductase	387	523	5.9E-36	T	28-03-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal
1931_scaffold19,50112,f24Z50112_1_29685_31283_+_gene_type=bacteria	d72907977a8c4c7f78f4befe59bc6373	532	Pfam	PF00732	GMC oxidoreductase	5	295	2.0E-51	T	28-03-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal
303_scaffold9,60979,f11Z60979_1_15432_16442_-_gene_type=bacteria	5b2c443db7852e7613b172c7d5248da8	336	Pfam	PF00962	Adenosine deaminase	12	332	4.5E-91	T	28-03-2024	IPR001365	Adenosine deaminase domain
249_scaffold10,60314,f17Z60314_1_42773_43285_+_gene_type=bacteria	a11f62792df60f5725c8a2f22b67b69b	170	Pfam	PF19078	Bacterial Ig-like domain	1	69	0.0053	T	28-03-2024	IPR044048	Bacterial Ig-like domain 12
70_scaffold6,66328,f8Z66328_1_4213_4752_+_gene_type=bacteria	3154621f0613557297b3df97e3063bc4	179	Pfam	PF01628	HrcA protein C terminal domain	111	174	1.2E-10	T	28-03-2024	IPR021153	Heat-inducible transcription repressor HrcA, C-terminal
70_scaffold6,66328,f8Z66328_1_4213_4752_+_gene_type=bacteria	3154621f0613557297b3df97e3063bc4	179	Pfam	PF03444	Winged helix-turn-helix transcription repressor, HrcA DNA-binding	9	76	0.025	T	28-03-2024	IPR005104	Winged helix-turn-helix transcription repressor, HrcA DNA-binding domain
778_scaffold2,108351,f2Z108351_1_19388_19747_+_gene_type=bacteria	b92ed6edb4beb6cd3b7340a123cff27a	119	Pfam	PF00453	Ribosomal protein L20	3	109	1.4E-44	T	28-03-2024	IPR005813	Large ribosomal subunit protein bL20
2453_scaffold4,84182,f5Z84182_1_rc+scaffold79,2976,f351Z2976_1_72243_73457_-_gene_type=bacteria	5de7200a0bd1d14437c01742e5be0c8b	404	Pfam	PF01266	FAD dependent oxidoreductase	16	372	5.7E-48	T	28-03-2024	IPR006076	FAD dependent oxidoreductase
140_scaffold8,62692,f10Z62692_1_8771_10123_+_gene_type=bacteria	c31ad35e0a59e3af743585c9e1afb54f	450	Pfam	PF06808	Tripartite ATP-independent periplasmic transporter, DctM component	1	107	5.7E-15	T	28-03-2024	IPR010656	TRAP C4-dicarboxylate transport system permease DctM subunit
140_scaffold8,62692,f10Z62692_1_8771_10123_+_gene_type=bacteria	c31ad35e0a59e3af743585c9e1afb54f	450	Pfam	PF06808	Tripartite ATP-independent periplasmic transporter, DctM component	120	292	3.9E-5	T	28-03-2024	IPR010656	TRAP C4-dicarboxylate transport system permease DctM subunit
