# SignalP-6.0	Organism: Other	Timestamp: 20240329003430
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
GCA_007571105_OTU14_sp__141_RKRZ01000082.1_2248_2757___gene_type_bacteria_partial_01	SP	0.000167	0.999269	0.000146	0.000156	0.000133	0.000129	CS pos: 21-22. Pr: 0.9783
GCA_007571105_OTU14_sp__143_RKRZ01000018.1_169_879___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_007571105_OTU14_sp__144_RKRZ01000018.1_896_2122___gene_type_bacteria	LIPO	0.000000	0.000001	1.000000	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9974
GCA_007571105_OTU14_sp__399_RKRZ01000084.1_931_2604_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_007571105_OTU14_sp__594_RKRZ01000071.1_3692_4126___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_007571105_OTU14_sp__756_RKRZ01000117.1_16082_16660___gene_type_bacteria	OTHER	0.999981	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_007571105_OTU14_sp__1186_RKRZ01000059.1_10057_10950___gene_type_bacteria	SP	0.000259	0.665940	0.333467	0.000126	0.000114	0.000101	CS pos: 30-31. Pr: 0.6458
H_panicea_OTU4_sp__71_scaffold5,109559,f1Z109559,1_82329_83174___gene_type_bacteria	SP	0.000242	0.999079	0.000199	0.000180	0.000156	0.000151	CS pos: 35-36. Pr: 0.9687
H_panicea_OTU4_sp__104_scaffold34,11308,f54Z11308,1_4011_4628___gene_type_bacteria	SP	0.000321	0.998957	0.000217	0.000206	0.000168	0.000147	CS pos: 27-28. Pr: 0.9782
H_panicea_OTU4_sp__105_scaffold34,11308,f54Z11308,1_4652_5413___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
