module	genome_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00001	GCA_902567095_1	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	0.8888888888888888	True	0.9	True	NA	No enzymes unique to module	NA	K00134,K00927,K01623,K01689,K01689,K01803,K01810,K01834,K15634,K15634,K21071,K25026	738,1213,719,1547,1546,1146,575,1457,1379,1608,1437,1246	K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K01803 is present in multiple modules: M00001/M00002/M00003,K01834 is present in multiple modules: M00001/M00002/M00003,K21071 is present in multiple modules: M00001/M00345,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K25026 is present in multiple modules: M00001/M00549/M00909,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01623 is present in multiple modules: M00001/M00003/M00165/M00167/M00611/M00612,K15634 is present in multiple modules: M00001/M00002/M00003
M00002	GCA_902567095_1	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	0.8	True	0.8333333333333334	True	NA	No enzymes unique to module	NA	K00134,K00927,K01689,K01689,K01803,K01834,K15634,K15634	738,1213,1547,1546,1146,1457,1379,1608	K01803 is present in multiple modules: M00001/M00002/M00003,K01834 is present in multiple modules: M00001/M00002/M00003,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K15634 is present in multiple modules: M00001/M00002/M00003
M00003	GCA_902567095_1	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	0.8571428571428571	True	0.875	True	1.0	K01596	1	K00134,K00927,K01596,K01623,K01689,K01689,K01803,K01834,K15634,K15634	738,1213,642,719,1547,1546,1146,1457,1379,1608	K01803 is present in multiple modules: M00001/M00002/M00003,K01834 is present in multiple modules: M00001/M00002/M00003,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01623 is present in multiple modules: M00001/M00003/M00165/M00167/M00611/M00612,K15634 is present in multiple modules: M00001/M00002/M00003
M00307	GCA_902567095_1	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"	0.0	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00382,K00382	1349,693	K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032
M00009	GCA_902567095_1	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.25	False	0.2916666666666667	False	NA	No enzymes unique to module	NA	K00174,K00175,K00240,K00382,K00382,K00658,K01902,K01903	1376,1375,1345,1349,693,1348,1351,1350	K00174 is present in multiple modules: M00009/M00011/M00173/M00620/M00614,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00240 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00175 is present in multiple modules: M00009/M00011/M00173/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00658 is present in multiple modules: M00009/M00011/M00032
M00011	GCA_902567095_1	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.4	False	0.4666666666666667	False	NA	No enzymes unique to module	NA	K00174,K00175,K00240,K00382,K00382,K00658,K01902,K01903	1376,1375,1345,1349,693,1348,1351,1350	K00174 is present in multiple modules: M00009/M00011/M00173/M00620/M00614,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00240 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00175 is present in multiple modules: M00009/M00011/M00173/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00658 is present in multiple modules: M00009/M00011/M00032
M00004	GCA_902567095_1	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)"	0.3333333333333333	False	0.42857142857142855	False	NA	No enzymes unique to module	NA	K00615,K01783,K01810	1212,462,575	K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K01783 is present in multiple modules: M00004/M00007
M00007	GCA_902567095_1	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00615,K01783	1212,462	K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K01783 is present in multiple modules: M00004/M00007
M00005	GCA_902567095_1	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	1.0	True	1.0	K00948	1	K00948	1269	None
M00308	GCA_902567095_1	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.25	False	0.4	False	NA	No enzymes unique to module	NA	K00134,K00927	738,1213	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612
